"고유번호","작품분류코드","작품분류명","관리번호(년도)","관리번호(번호)","작품명(국문)","작품명(영문)","작품규격","액자규격","제작년도","재료/기법","기증자","수집년도","소장처분류코드","소장처분류명","작품캡션","작가명","메인이미지","썸네일이미지"
"4367","A05","뉴미디어","2015","80","캐릭터 (점, 선, 면)","","95*175*40cm","","2014","전구, 메탈, 아크릴","","2015","B02","북서울미술관 수장고","","뮌","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13060","http://collections.eseoul.go.kr/data/art/thumb/13060.jpg"
"4368","A11","설치","2016","138","검은 유랑","Black meanders","가변크기","","2011-2016","스테인리스 스틸, 우레탄 도색, 실, 볼트","","2016","B02","북서울미술관 수장고","","강서경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13293","http://collections.eseoul.go.kr/data/art/thumb/13293.jpg"
"4369","A01","한국화","2016","139","축제","Festival","130*162.5cm","151*183cm","2013","장지에 분채","","2016","B01","서소문본관 수장고","","곽석손","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13292","http://collections.eseoul.go.kr/data/art/thumb/13292.jpg"
"4370","A04","조각","2016","140","41 롤 감기","41 Rolls of Winding","228*59*32cm","","2008","나무판넬에 컬러 천테이프, 석고붕대, 철사, 바니쉬","","2016","B02","북서울미술관 수장고","","곽선경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13291","http://collections.eseoul.go.kr/data/art/thumb/13291.jpg"
"4371","A07","사진","2016","141","관광버스-매지컬 리얼리티 시리즈","Tuor Bus-magical reality series","152.5*191.5cm","183*223.5cm","2005","디지털 C-프린트","","2016","B01","서소문본관 수장고","","구성수","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13290","http://collections.eseoul.go.kr/data/art/thumb/13290.jpg"
"4372","A01","한국화","2016","142","그날 우리가 본 것은 아무도 기억하지 못한다","Paracox of sight-What we saw that day:do not remember anybody","87*166cm","94*171.5cm","2015","골판지에 아크릴릭, 컷팅","","2016","B01","서소문본관 수장고","","구인성","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13289","http://collections.eseoul.go.kr/data/art/thumb/13289.jpg"
"4373","A01","한국화","2016","143","내가 하고싶은 말은","Paradox of sight-I want to say is","87*166cm","94*171.5cm","2015","골판지에 아크릴릭, 커팅","","2016","B01","서소문본관 수장고","","구인성","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13288","http://collections.eseoul.go.kr/data/art/thumb/13288.jpg"
"4374","A07","사진","2016","153","하퍼 애비뉴/선셋 블러바드","Harper Avenue/Sunset Boulevard","100*149.5cm, 99*150cm","125*175cm, 124.5*174.5cm","2015","아카이벌 피그먼트 프린트","","2016","B02","북서울미술관 수장고","","김우영","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13287","http://collections.eseoul.go.kr/data/art/thumb/13287.jpg"
"4375","A02","회화","2016","152","","The city 2015-seeing-fly","130*162cm","141*173cm","2015","캔버스에 아크릴릭","","2016","B02","북서울미술관 수장고","","김영구","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13286","http://collections.eseoul.go.kr/data/art/thumb/13286.jpg"
"4376","A03","드로잉&판화","2016","207","2014년에 태운 2015년","2015 Buernt in 2014","65*76.5cm(*12개)","69*80.5cm(*12개)","2014","종이에 담배 그을음","","2016","B01","서소문본관 수장고","","이창훈","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13285","http://collections.eseoul.go.kr/data/art/thumb/13285.jpg"
"4377","A02","회화","2016","280","오래된 바람 12-9-6","An old Breege 12--6","300*217cm","","2012","캔버스에 아크릴릭, 크리스털","","2016","B02","북서울미술관 수장고","","황인기","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13284","http://collections.eseoul.go.kr/data/art/thumb/13284.jpg"
"4378","A11","설치","2016","156","만능 컨테이너 프로젝트","Versatile Container project","가변크기","","2016","알루미늄판에 시트지","","2016","B02","북서울미술관 수장고","","김지은","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13283","http://collections.eseoul.go.kr/data/art/thumb/13283.jpg"
"4379","A07","사진","2016","164","그 집의 아침 7","","84*119cm","88*123cm","2014","디지털 잉크젯 프린트","","2016","B01","서소문본관 수장고","","박선교","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13282","http://collections.eseoul.go.kr/data/art/thumb/13282.jpg"
"4380","A07","사진","2016","165","그 집의 아침 11","","59*41cm","63*45cm","2014","디지털 잉크젯 프린트","","2016","B01","서소문본관 수장고","","박선교","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13281","http://collections.eseoul.go.kr/data/art/thumb/13281.jpg"
"4381","A07","사진","2016","166","그 집의 아침 13","","48.5*56.5cm","52.5*60.5cm","2014","디지털 잉크젯 프린트","","2016","B01","서소문본관 수장고","","박선교","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13280","http://collections.eseoul.go.kr/data/art/thumb/13280.jpg"
"4382","A07","사진","2016","167","그 집의 아침 14","","76*119cm","80*123cm","2014","디지털 잉크젯 프린트","","2016","B01","서소문본관 수장고","","박선교","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13279","http://collections.eseoul.go.kr/data/art/thumb/13279.jpg"
"4383","A07","사진","2016","168","그 집의 아침 15","","39.5*128.5cm","43.5*132cm","2014","디지털 잉크젯 프린트","","2016","B01","서소문본관 수장고","","박선교","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13278","http://collections.eseoul.go.kr/data/art/thumb/13278.jpg"
"4384","A02","회화","2016","159","나는 여기에 있다","I'm here","130*162cm","","2014","캔버스에 유채","","2016","B01","서소문본관 수장고","","김혜나","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13277","http://collections.eseoul.go.kr/data/art/thumb/13277.jpg"
"4385","A02","회화","2016","154","무제","Untitled","105*82.5*14cm","","2015","혼합재료","","2016","B01","서소문본관 수장고","","김을","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13276","http://collections.eseoul.go.kr/data/art/thumb/13276.jpg"
"4386","A07","사진","2016","183","","Unknown Australia 05","75*101cm","89*114cm","2016","아카이벌 피그먼트 프린트","","2016","B01","서소문본관 수장고","","션팍","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13275","http://collections.eseoul.go.kr/data/art/thumb/13275.jpg"
"4387","A07","사진","2016","184","","Unknown USA 3 #6","75*101cm","89*114cm","2014","아카이벌 피그먼트 프린트","","2016","B01","서소문본관 수장고","","션팍","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13274","http://collections.eseoul.go.kr/data/art/thumb/13274.jpg"
"4388","A02","회화","2016","181","","Ghost(green, blue, cobalt)","55*86cm(*3개)","71*101cm(*3개)","2016","일본종이에 잉크","","2016","B01","서소문본관 수장고","","성민화","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13273","http://collections.eseoul.go.kr/data/art/thumb/13273.jpg"
"4389","A02","회화","2016","182","","Lost","30*40*1.9cm(*16개)","","2016","MDF에 레이저인그레이빙, 스테인리스 스틸","","2016","B01","서소문본관 수장고","","성민화","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13272","http://collections.eseoul.go.kr/data/art/thumb/13272.jpg"
"4390","A02","회화","2016","171","행복한 동행","Happy Accompanying","160*129cm","182*150.5cm","2016","캔버스에 유채","","2016","B01","서소문본관 수장고","","박정희","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13271","http://collections.eseoul.go.kr/data/art/thumb/13271.jpg"
"4391","A02","회화","2016","187","우리가 이 도시를 세웠어요","We Built This City","116*116cm","118*118cm","2015","캔버스에 아크릴릭","","2016","B01","서소문본관 수장고","","신창용","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13270","http://collections.eseoul.go.kr/data/art/thumb/13270.jpg"
"4392","A02","회화","2016","188","우리가 이 도시를 세웠어요","We Built This City","116*116cm","118*118cm","2015","캔버스에 아크릴릭","","2016","B01","서소문본관 수장고","","신창용","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13269","http://collections.eseoul.go.kr/data/art/thumb/13269.jpg"
"4393","A02","회화","2016","202","6220280542 (한국은행)","6220280542 (The Bank of Korea)","100*180cm","103.5*183.5cm","2015","한지에 먹, 천연염색, 자개","","2016","B01","서소문본관 수장고","","이곤","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13268","http://collections.eseoul.go.kr/data/art/thumb/13268.jpg"
"4394","A02","회화","2016","189","신神전 익숙함과 낯설음","Shrine, the familiar and unfamiliar","295*110cm(*15개)","","2011","견에 먹, 콘테, 석탄","","2016","B01","서소문본관 수장고","","신하정","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13267","http://collections.eseoul.go.kr/data/art/thumb/13267.jpg"
"4395","A11","설치","2016","200","문득 필요한 모험","A Sudden Adventure","25*50*25cm, 20*40*20cm","","2016","유리, 스테인리스 스틸","","2016","B02","북서울미술관 수장고","","윤인선","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13266","http://collections.eseoul.go.kr/data/art/thumb/13266.jpg"
"4396","A11","설치","2016","201","서로 입맞추는 코라","Kissing Khora","109*50*50cm, 118*40*40cm, 132*35*35cm","","2016","유리, 스테인리스 스틸, 플렉시글라스","","2016","B02","북서울미술관 수장고","","윤인선","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13265","http://collections.eseoul.go.kr/data/art/thumb/13265.jpg"
"4397","A01","한국화","2016","185","서울","Seoul","140*160cm","147*166.5cm","2011","한지에 먹, 안료, 스크래치","","2016","B01","서소문본관 수장고","","송윤주","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13264","http://collections.eseoul.go.kr/data/art/thumb/13264.jpg"
"4398","A04","조각","2016","203","바니타스 버스트","Vanitas bust","56*32*22cm","94*45*45cm","2010","실리콘, 공기주입기","","2016","B02","북서울미술관 수장고","","이병호","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13263","http://collections.eseoul.go.kr/data/art/thumb/13263.jpg"
"4399","A05","뉴미디어","2016","208","흑장미 v1","Black Rose v1","4분45초","","2016","단채널 비디오, 흑백, 사운드(스테레오)","","2016","B01","서소문본관 수장고","","이혜림","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13261","http://collections.eseoul.go.kr/data/art/thumb/13261.jpg"
"4400","A02","회화","2016","217","","Lady-X No.2,3,4,5,7","91*60.6cm(*3개), 60.6*91cm, 72.7*50cm","","2015","캔버스에 유채","","2016","B01","서소문본관 수장고","","장파","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13255","http://collections.eseoul.go.kr/data/art/thumb/13255.jpg"
"4401","A05","뉴미디어","2016","209","장미빛 인생 #4","Rosy Life #4","4분19초","","2013","단채널 비디오, 컬러, 무음","","2016","B01","서소문본관 수장고","","임선희","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13254","http://collections.eseoul.go.kr/data/art/thumb/13254.jpg"
"4402","A03","드로잉&판화","2016","210","동일 0808","Identity 08Aug","56*56*5cm(*2개)","56*56*5cm(*2개)","2008","판화지에 피그먼트 프린트, 유리와 아크릴에 모래분사","","2016","B01","서소문본관 수장고","","임정은","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13253","http://collections.eseoul.go.kr/data/art/thumb/13253.jpg"
"4403","A02","회화","2016","170","run-투명인간","run-invisible man","90.5*72.5cm","104*85.5cm","2014","캔버스에 아크릴릭","","2016","B01","서소문본관 수장고","","박은선(1962)","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13252","http://collections.eseoul.go.kr/data/art/thumb/13252.jpg"
"4404","A07","사진","2016","199","조선 여인 왕비 시리즈 #5","Joseon Dynasty Series, Empress #5","119*143.5cm","127*151cm","2014","디지털 잉크젯 프린트","","2016","B01","서소문본관 수장고","","우종일","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13251","http://collections.eseoul.go.kr/data/art/thumb/13251.jpg"
"4405","A02","회화","2016","218","나르카디아","Narcadia","194*225cm","","2015","캔버스에 유채","","2016","B01","서소문본관 수장고","","전혜림","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13250","http://collections.eseoul.go.kr/data/art/thumb/13250.jpg"
"4406","A02","회화","2016","219","밤","Night","194*225cm","","2015","캔버스에 유채","","2016","B01","서소문본관 수장고","","전혜림","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13249","http://collections.eseoul.go.kr/data/art/thumb/13249.jpg"
"4407","A02","회화","2016","222","믿음의 도리-납골함","Duty of Faith-Urns","122*187cm","","2016","철판에 유채, 우레탄도장, 스크래치","","2016","B01","서소문본관 수장고","","조현익","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13248","http://collections.eseoul.go.kr/data/art/thumb/13248.jpg"
"4408","A02","회화","2016","223","믿음의 도리-우편함","Duty of Faith-Mailbox","122*122cm","","2015","철판에 유채, 우레탄도장, 스크래치","","2016","B01","서소문본관 수장고","","조현익","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13247","http://collections.eseoul.go.kr/data/art/thumb/13247.jpg"
"4409","A02","회화","2016","221","풍경화 연구 1,2,3:파란색과 노란색","Landscape Study 1,2,3:Blue and Yellow","114*194cm, 151*194cm, 133*194cm","","2014","캔버스에 유채","","2016","B01","서소문본관 수장고","","제니조","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13245","http://collections.eseoul.go.kr/data/art/thumb/13245.jpg"
"4410","A04","조각","2016","226","트레이싱 드로잉시리즈 114","Tracing Drawing Series 114","35*16*16cm","","2014","세라믹에 연필","","2016","B02","북서울미술관 수장고","","주세균","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13244","http://collections.eseoul.go.kr/data/art/thumb/13244.jpg"
"4411","A04","조각","2016","227","트레이싱 드로잉시리즈 133","Trading Drawing Series 133","42*32*24cm","","2013","세라믹에 연필","","2016","B02","북서울미술관 수장고","","주세균","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13243","http://collections.eseoul.go.kr/data/art/thumb/13243.jpg"
"4412","A02","회화","2016","230","자화상, HJ","Self Portrait, HJ","183*122cm(*2개)","","2014","캔버스에 유채","","2016","B01","서소문본관 수장고","","최영민","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13240","http://collections.eseoul.go.kr/data/art/thumb/13240.jpg"
"4413","A04","조각","2016","174","무제","Untitled","160*70*50cm","","2011","에폭시, 아크릴도료","","2016","B02","북서울미술관 수장고","","백승현","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13239","http://collections.eseoul.go.kr/data/art/thumb/13239.jpg"
"4414","A04","조각","2016","175","무제","Untitled","160*70*50cm","","2011","에폭시, 아크릴도료","","2016","B02","북서울미술관 수장고","","백승현","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13238","http://collections.eseoul.go.kr/data/art/thumb/13238.jpg"
"4415","A04","조각","2016","176","무제","Untitled","160*70*50cm","","2012","에폭시, 아크릴도료","","2016","B02","북서울미술관 수장고","","백승현","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13237","http://collections.eseoul.go.kr/data/art/thumb/13237.jpg"
"4416","A04","조각","2016","177","무제","Untitled","160*70*50cm","","2015","에폭시, 아크릴도료","","2016","B02","북서울미술관 수장고","","백승현","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13236","http://collections.eseoul.go.kr/data/art/thumb/13236.jpg"
"4417","A07","사진","2016","157","","Fire Spitting","81*120cm","","2013","디지털 C-프린트","","2016","B02","북서울미술관 수장고","","김지현(1968)","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13235","http://collections.eseoul.go.kr/data/art/thumb/13235.jpg"
"4418","A04","조각","2016","158","프로메테우스 신드롬 Ⅱ","Phrometheus Syndrome Ⅱ","113*35*33cm","","2016","레진에 페인트, 사진 콜라주, 스테인리스 스틸","","2016","B02","북서울미술관 수장고","","김지현(1968)","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13234","http://collections.eseoul.go.kr/data/art/thumb/13234.jpg"
"4419","A05","뉴미디어","2016","155","","Feedback field","80*100*100cm","","2012-2015","나무, 아크릴, 8채널 사운드(모노)","","2016","B01","서소문본관 수장고","","김준(1976)","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13231","http://collections.eseoul.go.kr/data/art/thumb/13231.jpg"
"4420","A04","조각","2016","228","자락 012-7","","180*88*15cm","","2012","레진, 유리섬유","","2016","B01","서소문본관 수장고","","채우승","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13230","http://collections.eseoul.go.kr/data/art/thumb/13230.jpg"
"4421","A04","조각","2016","229","자락 012-11","","45*205*15cm","","2012","레진, 유리섬유","","2016","B01","서소문본관 수장고","","채우승","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13229","http://collections.eseoul.go.kr/data/art/thumb/13229.jpg"
"4422","A01","한국화","2016","163","풍경","Landscape","100*412.5cm","109*179cm(*2개), 109*79cm","2014","화선지에 수묵","","2016","B01","서소문본관 수장고","","박병일","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13228","http://collections.eseoul.go.kr/data/art/thumb/13228.jpg"
"4423","A05","뉴미디어","2016","145","","Shenandoah","250*120*10cm, 250*80*10cm, 29분41초","","2012","네온조명, 사운드(스테레오)","","2016","B01","서소문본관 수장고","","권소원","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13224","http://collections.eseoul.go.kr/data/art/thumb/13224.jpg"
"4424","A07","사진","2016","204","다른, 가장 오래된 쓰레기","Another, the oldest garbage","59.6*59.6cm(*12개)","59.6*59.6cm(*12개)","2014","디지털 C-프린트","","2016","B01","서소문본관 수장고","","이부록","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13211","http://collections.eseoul.go.kr/data/art/thumb/13211.jpg"
"4425","A11","설치","2016","191","얼굴없는 여인","Faceless Woman","27.5*27.5cm(*10개)","42.5*42.5cm(*10개)","2007-2010","옛 여인 손수건에 자수실, 아크릴릭","","2016","B01","서소문본관 수장고","","오계숙","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13200","http://collections.eseoul.go.kr/data/art/thumb/13200.jpg"
"4426","A07","사진","2016","224","연(蓮)","PADMA","154*228cm","160*235cm","2016","디지털 잉크젯 프린트","","2016","B01","서소문본관 수장고","","주명덕","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13299","http://collections.eseoul.go.kr/data/art/thumb/13299.png"
"4427","A07","사진","2016","225","연(蓮)","PADMA","154*228cm","160*235cm","2016","디지털 잉크젯 프린트","","2016","B01","서소문본관 수장고","","주명덕","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13298","http://collections.eseoul.go.kr/data/art/thumb/13298.jpg"
"4428","A05","뉴미디어","2016","178","","Primary Party","5분59초","","2010","단채널 비디오, 컬러, 사운드(스테레오)","","2016","B01","서소문본관 수장고","","백현주","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13199","http://collections.eseoul.go.kr/data/art/thumb/13199.jpg"
"4429","A07","사진","2016","160","동인천-도원 채미전","Dongincheon-Dowon Chaemijeon","99*123.5cm","102.5*127.5cm","2014","디지털 피그먼트 프린트","","2016","B01","서소문본관 수장고","","노기훈","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13198","http://collections.eseoul.go.kr/data/art/thumb/13198.jpg"
"4430","A07","사진","2016","161","신도림-영등포 문래동","Sindorim-Yeongdeungpo Mullaedong","99*123.5cm","102.5*127.5cm","2014","디지털 피그먼트 프린트","","2016","B01","서소문본관 수장고","","노기훈","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13197","http://collections.eseoul.go.kr/data/art/thumb/13197.jpg"
"4431","A04","조각","2016","211","화석 풍경 #1, #2, #3, #4, #5","Scape Fossil #1, #2, #3, #4, #5","26.5*47*20cm(*5개)","","1985","나무틀, 아크릴, 오브제","","2016","B01","서소문본관 수장고","","임충섭","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13191","http://collections.eseoul.go.kr/data/art/thumb/13191.jpg"
"4432","A02","회화","2016","279","장미빛 인생 Ⅱ","La vie en Rose Ⅱ","81.5*98cm","94*111cm","2006-2007","캔버스에 유채","","2016","B01","서소문본관 수장고","","홍순명","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13190","http://collections.eseoul.go.kr/data/art/thumb/13190.jpg"
"4433","A04","조각","2016","172","오렌지 트리","Orange tree","297*120*120cm","","2016","FRP, 철, 우레탄 코팅","","2016","B01","서소문본관 수장고","","박형진","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13189","http://collections.eseoul.go.kr/data/art/thumb/13189.jpg"
"4434","A04","조각","2016","231","","Mother's multitasking device","180*178*175cm, 5분","","2013","혼합매체, 단채널 비디오, 컬러, 사운드(모노)","","2016","B01","서소문본관 수장고","","최태훈","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13188","http://collections.eseoul.go.kr/data/art/thumb/13188.jpg"
"4435","A05","뉴미디어","2016","232","","Mother's multitasking device","5분","","2013","단채널 비디오, 컬러, 사운드(모노)","","2016","B01","서소문본관 수장고","","최태훈","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13302","http://collections.eseoul.go.kr/data/art/thumb/13302.jpg"
"4436","A11","설치","2016","205","","Broken Mirror","122*190cm, 3분43초","","2011","금박액자에 거울, 단채널 비디오, 컬러, 사운드(스테레오)","","2016","B02","북서울미술관 수장고","","이용백","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13187","http://collections.eseoul.go.kr/data/art/thumb/13187.jpg"
"4437","A07","사진","2016","169","","Portraiture of 36 Friends","31*45cm(*36개)","57*70cm(*36개)","1981","젤라틴 실버 프린트","","2016","B01","서소문본관 수장고","","박영숙","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13150","http://collections.eseoul.go.kr/data/art/thumb/13150.jpg"
"4438","A04","조각","2016","206","공동체","Community","108*235*90(*2개)","","2009(2016 재제작)","스테인리스 스틸, 분채도장","","2016","B02","북서울미술관 수장고","","이웅배","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13147","http://collections.eseoul.go.kr/data/art/thumb/13147.jpg"
"4439","A01","한국화","2016","150","검은 바다","Dark sea","112.5*145cm","118.5*152cm","2015","캔버스에 아크릴릭, 바느질","","2016","B01","서소문본관 수장고","","김소영","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13146","http://collections.eseoul.go.kr/data/art/thumb/13146.jpg"
"4440","A07","사진","2016","173","","Rise Raise_glass ceiling #01","80*120cm","80*120cm","2016","아카이벌 피그먼트 프린트","","2016","B01","서소문본관 수장고","","방명주","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13145","http://collections.eseoul.go.kr/data/art/thumb/13145.jpg"
"4441","A11","설치","2016","151","거기에 없음","Not there","지름 220cm, 82.5*52cm(*2개)","","2014-2016","철사줄, 지우개, 지우개가루, 종이에 색연필","","2016","B02","북서울미술관 수장고","","김시연","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13140","http://collections.eseoul.go.kr/data/art/thumb/13140.jpg"
"4442","A02","회화","2016","144","광화문-02","Gwanghwamon-02","97*146cm","100*149cm","2012","캔버스에 유채","","2016","B01","서소문본관 수장고","","국대호","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13139","http://collections.eseoul.go.kr/data/art/thumb/13139.jpg"
"4443","A02","회화","2016","179","익숙한 풍경-변덕과 욕망","A familiar scene-Whim and Desire","181.5*259cm","","2015","캔버스에 유채","","2016","B01","서소문본관 수장고","","서상익","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13138","http://collections.eseoul.go.kr/data/art/thumb/13138.jpg"
"4444","A02","회화","2016","149","부재-가족","Absence-Family","162*112cm","176.5*126.5cm","2014","캔버스에 유채","","2016","B01","서소문본관 수장고","","김경섭","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13137","http://collections.eseoul.go.kr/data/art/thumb/13137.jpg"
"4445","A04","조각","2016","186","로보트 태권보이","Robot Taekwon V","200*120*45cm","21*150*150cm","2016","알루미늄, 우레탄 도장","","2016","B02","북서울미술관 수장고","","신이철","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13136","http://collections.eseoul.go.kr/data/art/thumb/13136.jpg"
"4446","A01","한국화","2016","162","서울풍경도 Ⅶ","Seoul City Ⅶ","140*290cm","","2011","캔버스에 수묵, 아크릴릭","","2016","B01","서소문본관 수장고","","박능생","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13300","http://collections.eseoul.go.kr/data/art/thumb/13300.jpg"
"4447","A02","회화","2016","248","놀이터 풍경","Playground Landscape","97*145cm","99*147cm","2012","캔버스에 혼합재료","","2016","B01","서소문본관 수장고","","한생곤","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13301","http://collections.eseoul.go.kr/data/art/thumb/13301.jpg"
"4448","A05","뉴미디어","2016","190","숭례","Sungnye","60분10초","","2010","2채널 비디오, 컬러, 사운드(스테레오)","","2016","B01","서소문본관 수장고","","안정주","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13131","http://collections.eseoul.go.kr/data/art/thumb/13131.jpg"
"4449","A02","회화","2016","146","누리. 땅힘그림 43480908 01","Nuri. gravity painting 43480308 01","150*907cm","","2015","천에 물감","작가 기증","2016","B01","서소문본관 수장고","","금누리","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13130","http://collections.eseoul.go.kr/data/art/thumb/13130.jpg"
"4450","A02","회화","2016","147","누리. 땅힘그림 43480908 02","Nuri. gravity painting 43480908 02","430*275cm","","2015","천에 물감","작가 기증","2016","B01","서소문본관 수장고","","금누리","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13129","http://collections.eseoul.go.kr/data/art/thumb/13129.jpg"
"4451","A02","회화","2016","148","누리. 땅힘그림 43480908 03","Nuri. gravity painting 43480908 03","42*240*240cm","","2015","천에 물감, 나무","작가 기증","2016","B02","북서울미술관 수장고","","금누리","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13128","http://collections.eseoul.go.kr/data/art/thumb/13128.jpg"
"4452","A04","조각","2016","180","대나무","Bamboo","245*50*30.3cm, 250*50*30.3cm","","1999","스테인리스 스틸","화랑 기증","2016","B01","서소문본관 수장고","","서정국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13127","http://collections.eseoul.go.kr/data/art/thumb/13127.jpg"
"4453","A07","사진","2016","212","3-503","","125.5*156cm","155.2*187CM","2010","아카이벌 피그먼트 프린트","작가 기증","2016","B01","서소문본관 수장고","","장민승","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13125","http://collections.eseoul.go.kr/data/art/thumb/13125.jpg"
"4454","A07","사진","2016","213","4-202","","125.5*156cm","155.2*187cm","2010","아카이벌 피그먼트 프린트","작가 기증","2016","B01","서소문본관 수장고","","장민승","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13124","http://collections.eseoul.go.kr/data/art/thumb/13124.jpg"
"4455","A07","사진","2016","214","4-301","","125.5*156cm","155.2*187cm","2010","아카이벌 피그먼트 프린트","작가 기증","2016","B01","서소문본관 수장고","","장민승","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13123","http://collections.eseoul.go.kr/data/art/thumb/13123.jpg"
"4456","A07","사진","2016","215","4-304","","125.5*156cm","155.2*187cm","2010","아카이벌 피그먼트 프린트","작가 기증","2016","B01","서소문본관 수장고","","장민승","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13122","http://collections.eseoul.go.kr/data/art/thumb/13122.jpg"
"4457","A07","사진","2016","216","7-202","","125.5*156cm","155.2*187cm","2010","아카이벌 피그먼트 프린트","작가 기증","2016","B01","서소문본관 수장고","","장민승","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13121","http://collections.eseoul.go.kr/data/art/thumb/13121.jpg"
